name: 🇨🇦CA-51.222.86.136-5476 | type: trojan | id: 0 | remarks: 🇫🇷FR-94.23.116.190-000 | protocol: ssr | ping: 469 MS | avg_speed: 6.155 MB | max_speed: 8.376 MB | Link: ssr://OTQuMjMuMTE2LjE5MDo0NDM6b3JpZ2luOmFlcy0yNTYtY3RyOnRsczEuMl90aWNrZXRfYXV0aDpTRzkzWkhsQ2VYQmhjM05sY2pJd01qST0vP29iZnNwYXJhbT0mcmVtYXJrcz04SiUyQkhxJTJGQ2ZoN2RHVWkwNU5DNHlNeTR4TVRZdU1Ua3dMVEF3TUElM0QlM0QmcHJvdG9wYXJhbT0=
name: 🇦🇺AU-103.224.212.221-5846 | type: trojan | id: 1 | remarks: 🇸🇬SG-91.192.81.166-001 | protocol: ssr | ping: 537 MS | avg_speed: 4.376 MB | max_speed: 7.875 MB | Link: ssr://OTEuMTkyLjgxLjE2Njo0NDM6b3JpZ2luOmFlcy0yNTYtY3RyOnRsczEuMl90aWNrZXRfYXV0aDpUbVYzUW5sd1lYTnpaWEl5TURJei8/b2Jmc3BhcmFtPSZyZW1hcmtzPThKJTJCSHVQQ2ZoNnhUUnkwNU1TNHhPVEl1T0RFdU1UWTJMVEF3TVElM0QlM0QmcHJvdG9wYXJhbT0=
name: 🇭🇰HK-104.208.67.42-6005 | type: trojan | id: 2 | remarks: 🇫🇷FR-195.154.118.40-002 | protocol: ssr | ping: 486 MS | avg_speed: 3.878 MB | max_speed: 5.343 MB | Link: ssr://MTk1LjE1NC4xMTguNDA6NDQzOm9yaWdpbjphZXMtMjU2LWN0cjp0bHMxLjJfdGlja2V0X2F1dGg6VG1WM1FubHdZWE56WlhJeU1ESXovP29iZnNwYXJhbT0mcmVtYXJrcz04SiUyQkhxJTJGQ2ZoN2RHVWkweE9UVXVNVFUwTGpFeE9DNDBNQzB3TURJJTNEJnByb3RvcGFyYW09
name: 🇨🇦CA-167.114.153.171-6008 | type: trojan | id: 5 | remarks: 🇸🇬SG-13.229.233.192-005 | protocol: ssr | ping: 1246 MS | avg_speed: 0.083 MB | max_speed: 0.116 MB | Link: ssr://c2ctYW0zLmVxc3Vuc2hpbmUuY29tOjMyMDAxOm9yaWdpbjphZXMtMjU2LWNmYjp0bHMxLjJfdGlja2V0X2F1dGg6TTJjd1pFaHNTMDFGLz9vYmZzcGFyYW09JnJlbWFya3M9OEolMkJIdVBDZmg2eFRSeTB4TXk0eU1qa3VNak16TGpFNU1pMHdNRFUlM0QmcHJvdG9wYXJhbT0=
name: 🇦🇺AU-103.224.212.221-6257 | type: trojan | id: 6 | remarks: 🇸🇬SG-13.229.233.192-008 | protocol: ssr | ping: 1282 MS | avg_speed: 0.081 MB | max_speed: 0.124 MB | Link: ssr://c2ctYW0zLmVxc3Vuc2hpbmUuY29tOjMyMDAxOm9yaWdpbjphZXMtMjU2LWNmYjp0bHMxLjJfdGlja2V0X2F1dGg6TTJjd1pFaHNTMDFGLz9vYmZzcGFyYW09JnJlbWFya3M9OEolMkJIdVBDZmg2eFRSeTB4TXk0eU1qa3VNak16TGpFNU1pMHdNRGclM0QmcHJvdG9wYXJhbT0=
name: 🇭🇰HK-104.208.67.42-6312 | type: trojan | id: 3 | remarks: 🇯🇵JP-18.179.203.226-003 | protocol: ssr | ping: 0 MS | avg_speed: 0.0 MB | max_speed: 0.0 MB | Link: ssr://anAtYW00OC02LmVxbm9kZS5uZXQ6ODA4MTpvcmlnaW46YWVzLTI1Ni1jZmI6dGxzMS4yX3RpY2tldF9hdXRoOlpVRnZhMkpoUkU0Mi8/b2Jmc3BhcmFtPSZyZW1hcmtzPThKJTJCSHIlMkZDZmg3VktVQzB4T0M0eE56a3VNakF6TGpJeU5pMHdNRE0lM0QmcHJvdG9wYXJhbT0=
name: 🇭🇰HK-20.24.73.213-7198 | type: trojan | id: 4 | remarks: 🇫🇷FR-13.39.158.120-004 | protocol: ssr | ping: 0 MS | avg_speed: 0.0 MB | max_speed: 0.0 MB | Link: ssr://ZnItYW0xLTUuZXFzdW5zaGluZS5jb206ODE4MTpvcmlnaW46YWVzLTI1Ni1jZmI6dGxzMS4yX3RpY2tldF9hdXRoOlVtTm1WbU5FZW5wQy8/b2Jmc3BhcmFtPSZyZW1hcmtzPThKJTJCSHElMkZDZmg3ZEdVaTB4TXk0ek9TNHhOVGd1TVRJd0xUQXdOQSUzRCUzRCZwcm90b3BhcmFtPVRtOXVKZSUyQiUyRnZRJTNEJTNE
name: 🇺🇸US-38.9.140.66-7487 | type: trojan | id: 7 | remarks: 🇨🇦CA-3.96.243.17-009 | protocol: ssr | ping: 0 MS | avg_speed: 0.0 MB | max_speed: 0.0 MB | Link: ssr://ejAxMTUuc2VjdXJpdHktY2xvdWRmcm9udC1jZG4uY29tOjQyODMzOm9yaWdpbjphZXMtMjU2LWNmYjpodHRwX3NpbXBsZTpXWEJZTW05d1FtSnlabkZLZW5wTmN3PT0vP29iZnNwYXJhbT0mcmVtYXJrcz04SiUyQkhxUENmaDZaRFFTMHpMamsyTGpJME15NHhOeTB3TURrJTNEJnByb3RvcGFyYW09
name: 🇺🇸US-38.9.140.66-7490 | type: trojan | id: 8 | remarks: 🇨🇳CN-183.232.170.32-010 | protocol: ss | ping: 0 MS | avg_speed: 0.0 MB | max_speed: 0.0 MB | Link: ss://YWVzLTEyOC1nY206ZzEyc1FpI3NzIyYx@183.232.170.32:20012#%F0%9F%87%A8%F0%9F%87%B3CN-183.232.170.32-010
name: 🇷🇺RU-91.206.92.17-8092 | type: trojan | id: 9 | remarks: 🇨🇳CN-183.232.170.32-011 | protocol: ss | ping: 0 MS | avg_speed: 0.0 MB | max_speed: 0.0 MB | Link: ss://YWVzLTEyOC1nY206ZzEyc1FpI3NzIyYx@183.232.170.32:30016#%F0%9F%87%A8%F0%9F%87%B3CN-183.232.170.32-011
name: 🇯🇵JP-20.210.114.173-8283 | type: trojan | id: 10 | remarks: 🇨🇳CN-183.232.170.32-012 | protocol: ss | ping: 0 MS | avg_speed: 0.0 MB | max_speed: 0.0 MB | Link: ss://YWVzLTEyOC1nY206ZzEyc1FpI3NzIyYx@183.232.170.32:20013#%F0%9F%87%A8%F0%9F%87%B3CN-183.232.170.32-012
name: 🇯🇵JP-20.210.114.173-8288 | type: trojan | id: 11 | remarks: 🇨🇳CN-42.157.196.103-020 | protocol: ssr | ping: 0 MS | avg_speed: 0.0 MB | max_speed: 0.0 MB | Link: ssr://NDIuMTU3LjE5Ni4xMDM6MTAxMjA6YXV0aF9hZXMxMjhfbWQ1OnJjNC1tZDU6aHR0cF9wb3N0OldXczBWV1J5VDNsUlp3PT0vP29iZnNwYXJhbT1ZV3BoZUM1dGFXTnliM052Wm5RdVkyOXQmcmVtYXJrcz04SiUyQkhxUENmaDdORFRpMDBNaTR4TlRjdU1UazJMakV3TXkwd01qQSUzRCZwcm90b3BhcmFtPQ==
name: 🇯🇵JP-20.89.142.179-8294 | type: trojan | id: 12 | remarks: 🇨🇳CN-42.157.196.104-021 | protocol: ssr | ping: 0 MS | avg_speed: 0.0 MB | max_speed: 0.0 MB | Link: ssr://NDIuMTU3LjE5Ni4xMDQ6MTA5Njc6YXV0aF9hZXMxMjhfbWQ1OmFlcy0yNTYtY2ZiOnRsczEuMl90aWNrZXRfYXV0aDpka050Y0RoQlRHbG9OZz09Lz9vYmZzcGFyYW09WVdwaGVDNXRhV055YjNOdlpuUXVZMjl0JnJlbWFya3M9OEolMkJIcVBDZmg3TkRUaTAwTWk0eE5UY3VNVGsyTGpFd05DMHdNakUlM0QmcHJvdG9wYXJhbT0=
name: AE-3.28.178.166-8310 | type: ss | id: 13 | remarks: 🇨🇳CN-42.157.196.104-022 | protocol: ssr | ping: 0 MS | avg_speed: 0.0 MB | max_speed: 0.0 MB | Link: ssr://NDIuMTU3LjE5Ni4xMDQ6MjAwMzc6YXV0aF9hZXMxMjhfbWQ1OmFlcy0yNTYtY2ZiOmh0dHBfcG9zdDpRMWRUV25OalRHdHFaZz09Lz9vYmZzcGFyYW09WVdwaGVDNXRhV055YjNOdlpuUXVZMjl0JnJlbWFya3M9OEolMkJIcVBDZmg3TkRUaTAwTWk0eE5UY3VNVGsyTGpFd05DMHdNakklM0QmcHJvdG9wYXJhbT0=
name: 🇨🇳CN-123.159.205.114-8462 | type: trojan | id: 14 | remarks: 🇸🇪SE-16.171.105.235-026 | protocol: ssr | ping: 0 MS | avg_speed: 0.0 MB | max_speed: 0.0 MB | Link: ssr://ejAxMTcuc2VjdXJpdHktY2xvdWRmcm9udC1jZG4uY29tOjQyODMzOm9yaWdpbjphZXMtMjU2LWNmYjpodHRwX3NpbXBsZTpXWEJZTW05d1FtSnlabkZLZW5wTmN3PT0vP29iZnNwYXJhbT0mcmVtYXJrcz04SiUyQkh1UENmaDZwVFJTMHhOaTR4TnpFdU1UQTFMakl6TlMwd01qWSUzRCZwcm90b3BhcmFtPQ==
